Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.28.0.7-172.28.0.3-37878-3306-6,172.28.0.7,37878,172.28.0.3,3306,6,25/01/2023 08:50:24 AM,377884,12,10,550.0,1209.0,432.0,0.0,45.83333333333334,123.63350041247891,1057.0,0.0,120.90000000000002,330.00183501173314,4654.8676313366,58.218924325983636,17994.476190476187,67414.77045842331,310621.0,7.0,377884.0,34353.090909090904,92045.80060866932,310621.0,216.0,368653.0,40961.44444444445,101638.44813493453,310777.0,71.0,0,0,0,0,392,328,31.755776905081984,26.463147420901652,0.0,1057.0,76.47826086956522,232.09517435843924,53868.16996047431,1,2,0,9,21,0,0,0,0.0,79.95454545454545,45.833333333333336,120.9,0,0,0,0,9,4786,0,25,0,54,64240,507,4,32,0,0,0,0,1.6746366243111725E15,164145.00470231974,1.674636624549679E15,1.674636624178932E15,Benign
172.28.0.7-172.28.0.3-37880-3306-6,172.28.0.7,37880,172.28.0.3,3306,6,25/01/2023 08:50:24 AM,216683,12,9,550.0,1212.0,432.0,0.0,45.83333333333334,123.63350041247891,1060.0,0.0,134.66666666666669,348.10451016900083,8131.69468763124,96.91577096495803,10834.15,39276.170643915895,177115.0,7.0,216683.0,19698.454545454544,52336.342417795364,177115.0,209.0,207106.0,25888.25,61344.860762158154,177226.0,112.0,0,0,0,0,392,296,55.38044055140459,41.535330413553446,0.0,1060.0,80.09090909090908,237.53253593498644,56421.705627705625,1,2,0,9,20,0,0,0,0.0,83.9047619047619,45.833333333333336,134.66666666666666,0,0,0,0,9,8527,0,26,0,57,64240,507,4,32,0,0,0,0,1.6746366249553402E15,92071.93680515328,1.674636625085955E15,1.674636624884641E15,Benign
172.28.0.7-172.28.0.3-37882-3306-6,172.28.0.7,37882,172.28.0.3,3306,6,25/01/2023 08:50:25 AM,233129,12,10,550.0,1208.0,432.0,0.0,45.83333333333334,123.63350041247891,1056.0,0.0,120.80000000000001,329.68665257921634,7540.889378841757,94.36835400143268,11101.38095238095,38630.035880744654,178380.0,11.0,233129.0,21193.545454545452,52437.48941046593,178380.0,124.0,222568.0,24729.777777777774,57998.52483636497,178619.0,155.0,0,0,0,0,392,328,51.4736476371451,42.894706364287586,0.0,1056.0,76.43478260869566,231.90315888062895,53779.07509881423,1,2,0,9,21,0,0,0,0.0,79.9090909090909,45.833333333333336,120.8,0,0,0,0,9,8616,0,25,0,54,64240,507,4,32,0,0,0,0,1.6746366253875402E15,95513.24969573304,1.674636625518674E15,1.674636625296151E15,Benign
172.28.0.8-172.28.0.7-60742-5000-6,172.28.0.8,60742,172.28.0.7,5000,6,25/01/2023 08:50:45 AM,4216082,25,23,3851.0,11304.0,2988.0,0.0,154.04000000000002,593.3807434242088,3690.0,0.0,491.47826086956525,1123.7231893683208,3594.569555335973,11.38497780640889,89703.87234042551,276046.39548055944,1041352.0,2.0,4216082.0,175670.08333333334,369656.62459485605,1041352.0,17.0,4117242.0,187147.36363636362,384491.75740828185,1041585.0,17.0,0,0,0,0,808,744,5.929675940837963,5.455301865570926,0.0,3690.0,309.2857142857142,886.1510170394208,785263.6249999999,1,2,0,22,47,0,0,0,0.0,315.7291666666667,154.04,491.4782608695652,0,0,0,0,11,4929,0,80,0,235,64240,501,15,32,0,0,0,0,1.6746366474160515E15,1285600.8227143865,1.674636649803748E15,1.674636645686526E15,Benign
172.28.0.6-172.28.0.7-49118-5000-6,172.28.0.6,49118,172.28.0.7,5000,6,25/01/2023 08:51:06 AM,3156295,14,12,3479.0,9861.0,2988.0,0.0,248.50000000000009,792.2140105183312,3690.0,0.0,821.75,1488.4686532870558,4226.47439482051,8.237506316741623,126251.79999999999,339341.55824932986,1068569.0,2.0,3156295.0,242791.92307692306,446825.9026232442,1068569.0,65.0,3156073.0,286915.7272727273,475089.9882698205,1068707.0,25.0,0,0,0,0,456,392,4.435580324399335,3.8019259923422872,0.0,3690.0,494.07407407407396,1158.6900403846619,1342562.6096866094,1,2,0,11,25,0,0,0,0.0,513.0769230769231,248.5,821.75,0,0,0,0,5,12736,0,133,0,379,64240,501,7,32,0,0,0,0,1.6746366671055312E15,968399.9453036172,1.674636669467823E15,1.674636666311735E15,Benign
172.28.0.6-172.28.0.7-49126-5000-6,172.28.0.6,49126,172.28.0.7,5000,6,25/01/2023 08:52:12 AM,3167228,14,12,3479.0,9865.0,2988.0,0.0,248.50000000000009,792.2140105183312,3694.0,0.0,822.0833333333333,1489.169656268726,4213.147900940507,8.209071149914056,126689.12,337540.51581925194,1074811.0,4.0,3167228.0,243632.92307692312,443858.6598324331,1074811.0,69.0,3167046.0,287913.2727272727,471632.85070870345,1074967.0,77.0,0,0,0,0,456,392,4.420269080722954,3.788802069191103,0.0,3694.0,494.22222222222206,1159.1145603876107,1343546.564102564,1,2,0,11,25,0,0,0,0.0,513.2307692307693,248.5,822.0833333333334,0,0,0,0,5,12794,0,133,0,379,64240,501,7,32,0,0,0,0,1.6746367331813405E15,970959.5288613437,1.674636735547767E15,1.67463673238076E15,Benign
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,25/01/2023 08:50:24 AM,99596116,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.07028386528647362,1.6599352666666668E7,1.5398650547376294E7,4.0990572E7,62.0,9.9596116E7,1.6599352666666668E7,1.5398650547376294E7,4.0990572E7,62.0,0,0,0,0,0,0,0,0,0,0,0,0.07028386528647362,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.674636665249154E15,2.8542771237592798E7,1.674636707302226E15,1.674636644786392E15,Benign
172.28.0.6-172.28.0.7-49134-5000-6,172.28.0.6,49134,172.28.0.7,5000,6,25/01/2023 08:55:39 AM,3173702,14,12,3479.0,9865.0,2988.0,0.0,248.50000000000009,792.2140105183312,3694.0,0.0,822.0833333333333,1489.169656268726,4204.553546615278,8.192325555455428,126948.08,340558.9189303274,1078345.0,2.0,3173702.0,244130.92307692306,448296.5471789593,1078345.0,72.0,3173449.0,288495.36363636365,476590.91892781015,1078486.0,29.0,0,0,0,0,456,392,4.411252222168307,3.7810733332871203,0.0,3694.0,494.22222222222206,1159.1145603876107,1343546.564102564,1,2,0,11,25,0,0,0,0.0,513.2307692307693,248.5,822.0833333333334,0,0,0,0,5,12735,0,133,0,379,64240,501,7,32,0,0,0,0,1.6746369399765272E15,973062.6488592435,1.674636942347777E15,1.674636939174272E15,Benign
172.28.0.6-172.28.0.7-49138-5000-6,172.28.0.6,49138,172.28.0.7,5000,6,25/01/2023 08:57:06 AM,3116099,14,12,3479.0,9861.0,2988.0,0.0,248.50000000000009,792.2140105183312,3690.0,0.0,821.75,1488.4686532870558,4280.993639804126,8.343765714760666,124643.95999999999,336401.8684256822,1051555.0,2.0,3116099.0,239699.92307692306,443233.95437237987,1051558.0,69.0,3115222.0,283202.0,471446.8089615201,1051570.0,27.0,0,0,0,0,456,392,4.492796923332667,3.850968791428,0.0,3690.0,494.07407407407396,1158.6900403846619,1342562.6096866094,1,2,0,11,25,0,0,0,0.0,513.0769230769231,248.5,821.75,0,0,0,0,5,12823,0,133,0,379,64240,501,7,32,0,0,0,0,1.6746370273640892E15,947001.1153192855,1.674637029708136E15,1.674637026592197E15,Benign
172.28.0.6-172.28.0.7-49158-5000-6,172.28.0.6,49158,172.28.0.7,5000,6,25/01/2023 09:01:10 AM,3100740,14,12,3479.0,9865.0,2988.0,0.0,248.50000000000009,792.2140105183312,3694.0,0.0,822.0833333333333,1489.169656268726,4303.488844598386,8.385095170830189,124029.60000000002,321787.7313631353,1050005.0,4.0,3100740.0,238518.46153846153,421329.59751889715,1050039.0,65.0,3100460.0,281860.0,446800.9139686265,1050020.0,55.0,0,0,0,0,456,392,4.51505124583164,3.8700439249985488,0.0,3694.0,494.22222222222206,1159.1145603876107,1343546.564102564,1,2,0,11,25,0,0,0,0.0,513.2307692307693,248.5,822.0833333333334,0,0,0,0,5,12784,0,133,0,379,64240,501,7,32,0,0,0,0,1.674637271623375E15,944752.026169354,1.674637273947603E15,1.674637270847183E15,Benign
172.28.0.6-172.28.0.7-49164-5000-6,172.28.0.6,49164,172.28.0.7,5000,6,25/01/2023 09:01:23 AM,3164216,14,12,3479.0,9865.0,2988.0,0.0,248.50000000000009,792.2140105183312,3694.0,0.0,822.0833333333333,1489.169656268726,4217.158373511796,8.216885320091928,126568.64,334453.1941743219,1069420.0,3.0,3164216.0,243401.23076923078,439218.3554837605,1069420.0,90.0,3163262.0,287569.2727272727,466479.0576671349,1069579.0,36.0,0,0,0,0,456,392,4.42447671081873,3.7924086092731972,0.0,3694.0,494.22222222222206,1159.1145603876107,1343546.564102564,1,2,0,11,25,0,0,0,0.0,513.2307692307693,248.5,822.0833333333334,0,0,0,0,5,12721,0,133,0,379,64240,501,7,32,0,0,0,0,1.6746372847862825E15,971028.7702912766,1.674637287147663E15,1.674637283983717E15,Benign
172.28.0.6-172.28.0.7-49170-5000-6,172.28.0.6,49170,172.28.0.7,5000,6,25/01/2023 09:02:19 AM,3139565,14,12,3479.0,9861.0,2988.0,0.0,248.50000000000009,792.2140105183312,3690.0,0.0,821.75,1488.4686532870558,4248.996278146813,8.281402041365602,125582.59999999999,336219.4135044108,1050093.0,4.0,3139565.0,241505.0,442447.8391388828,1050093.0,39.0,3139338.0,285394.36363636365,470325.3731333815,1050273.0,46.0,0,0,0,0,456,392,4.459216483812248,3.822185557553355,0.0,3690.0,494.07407407407396,1158.6900403846619,1342562.6096866094,1,2,0,11,25,0,0,0,0.0,513.0769230769231,248.5,821.75,0,0,0,0,5,12664,0,133,0,379,64240,501,7,32,0,0,0,0,1.6746373399155142E15,962074.0358032611,1.674637342267365E15,1.674637339128053E15,Benign
172.28.0.6-172.28.0.7-49176-5000-6,172.28.0.6,49176,172.28.0.7,5000,6,25/01/2023 09:02:32 AM,3092917,14,12,3479.0,9865.0,2988.0,0.0,248.50000000000009,792.2140105183312,3694.0,0.0,822.0833333333333,1489.169656268726,4314.373777246528,8.406303822572673,123716.68,330564.67456758994,1049234.0,3.0,3092917.0,237916.6923076923,434871.37072364753,1049238.0,31.0,3092728.0,281157.0909090909,462190.5248484556,1049251.0,37.0,0,0,0,0,456,392,4.526471289077593,3.879832533495079,0.0,3694.0,494.22222222222206,1159.1145603876107,1343546.564102564,1,2,0,11,25,0,0,0,0.0,513.2307692307693,248.5,822.0833333333334,0,0,0,0,5,12779,0,133,0,379,64240,501,7,32,0,0,0,0,1.6746373530575378E15,937905.7991957833,1.674637355386244E15,1.67463735229353E15,Benign
