Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.19.0.7-172.19.0.3-54862-3306-6,172.19.0.7,54862,172.19.0.3,3306,6,25/01/2023 12:09:21 PM,1054386,12,10,550.0,1209.0,432.0,0.0,45.83333333333334,123.63350041247891,1057.0,0.0,120.90000000000002,330.00183501173314,1668.2694952322963,20.865223931273746,50208.857142857145,212506.16781220393,977314.0,19.0,1054386.0,95853.2727272727,292414.16618183564,977314.0,87.0,1040250.0,115583.33333333333,323268.71786990156,977481.0,150.0,0,0,0,0,392,328,11.381031235240224,9.48419269603352,0.0,1057.0,76.47826086956522,232.09517435843924,53868.16996047431,1,2,0,9,21,0,0,0,0.0,79.95454545454545,45.833333333333336,120.9,0,0,0,0,9,1695,0,25,0,54,64240,507,4,32,0,0,0,0,1.6746485617909325E15,499558.3394453685,1.674648562439346E15,1.674648561399219E15,Attack
172.19.0.7-172.19.0.3-54864-3306-6,172.19.0.7,54864,172.19.0.3,3306,6,25/01/2023 12:09:22 PM,314241,12,10,550.0,1212.0,432.0,0.0,45.83333333333334,123.63350041247891,1060.0,0.0,121.20000000000002,330.9473942755522,5607.161382505784,70.00996050801773,14963.857142857145,57528.925449973176,265424.0,10.0,314241.0,28567.363636363636,78689.4258528714,265424.0,238.0,304510.0,33834.44444444445,87030.81507016798,265572.0,99.0,0,0,0,0,392,328,38.18725118619149,31.822709321826242,0.0,1060.0,76.6086956521739,232.67139120352758,54135.97628458497,1,2,0,9,21,0,0,0,0.0,80.0909090909091,45.833333333333336,121.2,0,0,0,0,9,5802,0,25,0,55,64240,507,4,32,0,0,0,0,1.6746485629268262E15,140477.52024660105,1.674648563115984E15,1.674648562811185E15,Attack
172.19.0.7-172.19.0.3-54866-3306-6,172.19.0.7,54866,172.19.0.3,3306,6,25/01/2023 12:09:23 PM,423175,12,9,550.0,1208.0,432.0,0.0,45.83333333333334,123.63350041247891,1056.0,0.0,134.22222222222223,346.7754236453968,4154.309682755361,49.62485969161694,21158.75,84153.95006576371,378352.0,12.0,423175.0,38470.454545454544,112797.85726897798,378352.0,91.0,414150.0,51768.74999999999,132164.0276796224,378559.0,212.0,0,0,0,0,392,296,28.357062680923967,21.267797010692973,0.0,1056.0,79.9090909090909,236.74698350588164,56049.1341991342,1,2,0,9,20,0,0,0,0.0,83.71428571428571,45.833333333333336,134.22222222222223,0,0,0,0,9,4251,0,26,0,57,64240,507,4,32,0,0,0,0,1.6746485635770708E15,190885.82190041122,1.674648563844511E15,1.674648563436914E15,Attack
172.19.0.8-172.19.0.7-55764-5000-6,172.19.0.8,55764,172.19.0.7,5000,6,25/01/2023 12:09:39 PM,4376143,25,23,3851.0,11304.0,2988.0,0.0,154.04000000000005,593.3825691182151,3690.0,0.0,491.47826086956525,1123.7231893683208,3463.095241631729,10.968562956009436,93109.42553191488,276975.145514566,1077978.0,4.0,4376143.0,182339.2916666667,369399.05475191306,1077978.0,32.0,4244538.0,192933.54545454544,390690.99450890213,1078184.0,28.0,0,0,0,0,808,744,5.712793206254915,5.2557697497545215,0.0,3690.0,309.2857142857142,886.1516282969485,785264.7083333331,1,2,0,22,47,0,0,0,0.0,315.7291666666667,154.04,491.4782608695652,0,0,0,0,11,4787,0,80,0,235,64240,501,15,32,0,0,0,0,1.6746485811765492E15,1346345.2030895452,1.674648583591399E15,1.674648579346874E15,Attack
172.19.0.5-172.19.0.7-41446-5000-6,172.19.0.5,41446,172.19.0.7,5000,6,25/01/2023 12:10:31 PM,3181946,14,12,3479.0,9861.0,2988.0,0.0,248.50000000000009,792.2140105183312,3690.0,0.0,821.75,1488.4686532870558,4192.403013753219,8.171100326655448,127277.84000000001,325871.08233736135,1068792.0,5.0,3181946.0,244765.07692307694,425716.93618774076,1068800.0,165.0,3181451.0,289222.8181818182,451026.2753035167,1068810.0,73.0,0,0,0,0,456,392,4.399823252814473,3.7712770738409764,0.0,3690.0,494.07407407407396,1158.6900403846619,1342562.6096866094,1,2,0,11,25,0,0,0,0.0,513.0769230769231,248.5,821.75,0,0,0,0,5,12016,0,133,0,379,64240,501,7,32,0,0,0,0,1.6746486319754332E15,969936.2141096193,1.674648634361531E15,1.674648631179866E15,Attack
172.19.0.5-172.19.0.7-42054-5000-6,172.19.0.5,42054,172.19.0.7,5000,6,25/01/2023 12:14:33 PM,4605,3,3,83.0,0.0,83.0,0.0,27.666666666666668,47.92007234273894,0.0,0.0,0.0,0.0,18023.887079261673,1302.9315960912054,921.0,1957.0954243470092,4421.0,7.0,177.0,88.5,50.204581464244875,124.0,53.0,4575.0,2287.5,3017.2246353229984,4421.0,154.0,0,0,0,0,104,104,651.4657980456027,651.4657980456027,0.0,83.0,11.857142857142858,31.37105125976586,984.1428571428572,1,2,0,1,5,0,0,0,1.0,13.833333333333334,27.666666666666668,0.0,0,0,0,0,0,0,0,13,0,0,64240,509,1,32,0,0,0,0,1.67464887387806E15,67.53517601961218,1.674648873878135E15,1.674648873878004E15,Attack
172.19.0.5-172.19.0.7-42056-5000-6,172.19.0.5,42056,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,4440,5,5,189.0,0.0,135.0,0.0,37.8,56.1489091612651,0.0,0.0,0.0,0.0,42567.56756756757,2252.252252252252,493.33333333333337,1013.187667710183,3138.0,24.0,1276.0,319.0,264.8055890648836,671.0,98.0,4378.0,1094.5,1381.3675590997977,3138.0,203.0,0,0,0,0,168,168,1126.126126126126,1126.126126126126,0.0,135.0,17.18181818181818,40.629590649717805,1650.7636363636364,1,2,0,3,9,0,0,0,1.0,18.9,37.8,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.6746489063964112E15,443.1690016660669,1.674648906396899E15,1.674648906395753E15,Attack
172.19.0.5-172.19.0.7-42058-5000-6,172.19.0.5,42058,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,2378,5,5,188.0,0.0,135.0,0.0,37.6,56.22543908232287,0.0,0.0,0.0,0.0,79058.03195962994,4205.214465937763,264.22222222222223,688.9286570062567,2098.0,4.0,275.0,68.75,51.713151131989626,139.0,26.0,2333.0,583.25,1012.1470166598,2098.0,27.0,0,0,0,0,168,168,2102.6072329688814,2102.6072329688814,0.0,135.0,17.09090909090909,40.62131102132117,1650.0909090909088,1,2,0,3,9,0,0,0,1.0,18.8,37.6,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.6746489064003368E15,93.31945063099883,1.674648906400423E15,1.674648906400183E15,Attack
172.19.0.5-172.19.0.7-42060-5000-6,172.19.0.5,42060,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,2383,5,5,188.0,0.0,135.0,0.0,37.6,56.22543908232287,0.0,0.0,0.0,0.0,78892.15274863617,4196.39110365086,264.77777777777777,663.9549641688391,2029.0,4.0,350.0,87.5,69.28443788711382,187.0,30.0,2338.0,584.5,967.2857213185082,2029.0,28.0,0,0,0,0,168,168,2098.19555182543,2098.19555182543,0.0,135.0,17.09090909090909,40.62131102132117,1650.0909090909088,1,2,0,3,9,0,0,0,1.0,18.8,37.6,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.6746489064027728E15,122.72294045567561,1.674648906402885E15,1.674648906402575E15,Attack
172.19.0.5-172.19.0.7-42062-5000-6,172.19.0.5,42062,172.19.0.7,5000,6,25/01/2023 12:15:06 PM,2168,5,5,189.0,0.0,135.0,0.0,37.8,56.1489091612651,0.0,0.0,0.0,0.0,87177.12177121772,4612.546125461255,240.88888888888889,589.6656774063682,1803.0,4.0,361.0,90.25,88.8420883740734,221.0,25.0,2132.0,533.0,853.5264104486358,1803.0,24.0,0,0,0,0,168,168,2306.2730627306273,2306.2730627306273,0.0,135.0,17.18181818181818,40.629590649717805,1650.7636363636364,1,2,0,3,9,0,0,0,1.0,18.9,37.8,0.0,0,0,0,0,0,0,0,18,0,0,64240,508,3,32,0,0,0,0,1.6746489064056202E15,133.1292747469273,1.674648906405734E15,1.674648906405409E15,Attack
